Filme,País,Ano,Tempo,Meu_Rating,Outlier_t,Genero,Animação,Rating_Geral
Como Treinar Seu Dragão 2,USA,2014,102,4,0,Comédia,1,3.8
Maleficent,USA,2014,97,3.5,0,Fantasia,0,3.2
Lucy,FRA,2014,89,1,0,Ação,0,2.8
O Jogo da Imitação,USA,2014,113,5,0,Drama,0,3.8
John Wick,USA,2014,101,5,0,Ação,0,3.8
Gone Girl,USA,2014,149,4.5,0,Drama,0,4.1
Interstellar,GBR,2014,169,5,0,Sci-fi,0,4.4
Festa no Céu,USA,2014,95,5,0,Comédia,1,3.6
Uma Noite no Museu 3,GBR,2014,98,2.5,0,Comédia,0,2.8
A Teoria de Tudo,GBR,2014,123,3.5,0,Romance,0,3.6
Hotel Transylvania 2,USA,2015,89,2.5,0,Comédia,1,2.9
Cinderella,GBR,2015,105,4,0,Romance,0,3.2
Insurgent,CAN,2015,119,1,0,Ação,0,2.4
Descendants,USA,2015,112,3,0,Fantasia,0,3
Os Vingadores: A Era de Ultron,USA,2015,141,0.5,0,Ação,0,3.1
Divertida Mente,USA,2015,95,5,0,Drama,1,3.8
Minions,USA,2015,91,3.5,0,Comédia,1,2.8
Deathgasm,NZL,2015,86,5,0,Comédia,0,3.2
Que Horas Ela Volta?,BRA,2015,112,5,0,Drama,0,4.1
Star Wars: The Force Awakens,USA,2015,136,3,0,Sci-fi,0,3.3
Suffragette,GBR,2015,106,NA,0,História,0,3.3
Kung Fu Panda 3,USA,2016,95,NA,0,Aventura,1,3.3
